date,Revenue,COGS,total_quantity,avg_unit_price,total_discount,unique_items,order_count,unique_customers,unique_zips,orders_payment_apple_pay,orders_payment_bank_transfer,orders_payment_cod,orders_payment_credit_card,orders_payment_paypal,orders_device_desktop,orders_device_mobile,orders_device_tablet,orders_source_direct,orders_source_email_campaign,orders_source_organic_search,orders_source_paid_search,orders_source_referral,orders_source_social_media,orders_status_cancelled,orders_status_created,orders_status_delivered,orders_status_paid,orders_status_returned,orders_status_shipped,orders_region_Central,orders_region_East,orders_region_West,total_payment_value,avg_installments,total_shipping_fee,avg_delivery_days,return_quantity,refund_amount,returns_reason_changed_mind,returns_reason_defective,returns_reason_late_delivery,returns_reason_not_as_described,returns_reason_wrong_size,avg_rating,total_reviews,total_sessions,total_unique_visitors,total_page_views,avg_bounce_rate,avg_session_duration_sec,traffic_sessions_direct,traffic_sessions_email_campaign,traffic_sessions_organic_search,traffic_sessions_paid_search,traffic_sessions_referral,traffic_sessions_social_media,max_discount_value,has_stackable,avg_min_order_value,active_promos_count,promo_categories_covered,promo_type_percentage,promo_type_fixed,promo_channel_email,promo_channel_online,promo_channel_all_channels,promo_channel_in_store,promo_channel_social_media,total_stock_on_hand,total_units_received,avg_stockout_days,avg_days_of_supply,avg_fill_rate,avg_sell_through_rate,items_stockout,items_overstock,items_reorder,new_customers_count,new_cust_acq_direct,new_cust_acq_email_campaign,new_cust_acq_organic_search,new_cust_acq_paid_search,new_cust_acq_referral,new_cust_acq_social_media,new_cust_age_18-24,new_cust_age_25-34,new_cust_age_35-44,new_cust_age_45-54,new_cust_age_55+,new_cust_gen_Female,new_cust_gen_Male,new_cust_gen_Non-binary,avg_product_price,avg_product_cogs,unique_colors,unique_sizes,qty_category_Casual,qty_category_GenZ,qty_category_Outdoor,qty_category_Streetwear,qty_segment_Activewear,qty_segment_All-weather,qty_segment_Balanced,qty_segment_Everyday,qty_segment_Performance,qty_segment_Premium,qty_segment_Standard,qty_segment_Trendy
2012-07-14,3820831.41,3075464.87,751,5145.452486,0,105,157,154,152,15,6,24,89,23,64,79,14,14,26,44,26,13,34,12,1,129,2,10,3,49,65,43,3820831.41,3.503184713,823.32,4.584507042,6,52967,0,0,1,0,1,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,2,0,0,0,1,2,0,5162.475296,4182.45669,10,4,13,55,253,430,244,13,85,249,74,9,22,55
2012-07-15,3948841.28,3154482.05,732,5153.680062,0,98,149,148,147,15,8,27,80,19,52,66,31,8,14,47,39,17,24,16,1,113,4,8,7,53,55,41,3948841.28,3.436241611,841.96,4.3984375,2,13534.62,1,0,0,1,0,4.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5166.866067,4102.514139,10,4,19,25,239,449,235,19,111,253,83,4,2,25
2012-07-16,3503801.49,2708219.59,719,4812.574221,0,93,140,139,138,16,7,25,72,20,57,60,23,10,23,39,31,15,22,11,0,110,8,7,4,35,71,34,3503801.49,3.535714286,497.96,4.148760331,4,16170.54,0,0,0,0,3,4.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,1,0,3,0,0,1,3,0,4810.655982,3730.060276,10,4,33,81,217,388,206,33,78,213,90,11,7,81
2012-07-17,4476729.49,3463061.65,958,4765.672512,0,117,185,183,182,14,4,27,105,35,77,82,26,17,21,51,39,24,33,19,1,148,5,9,3,64,85,36,4476729.49,3.335135135,611.37,4.54375,5,22944.07,0,2,0,1,0,3.875,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,1,1,0,4768.414277,3664.361932,10,4,28,78,330,522,296,28,108,278,124,34,12,78
2012-07-18,5184141.46,4072012.16,1085,4552.307617,0,128,225,223,218,28,6,37,120,34,82,103,40,17,22,71,50,17,48,21,1,187,0,14,2,62,117,46,5184141.46,3.613333333,1436.98,4.42364532,4,23202.75,2,0,0,0,0,4.875,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,2,0,4562.200688,3591.478686,10,4,26,43,380,636,374,26,81,342,178,6,35,43
2012-07-19,6421487.11,5007270.91,1322,4797.875121,0,142,263,259,247,32,14,34,152,31,109,123,31,23,40,68,49,25,58,20,0,214,5,21,3,68,136,59,6421487.11,3.460076046,1562.93,4.277310924,11,35697.71,1,1,0,1,2,3.555555556,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,0,3,1,2,1,1,1,4,2,0,4793.254099,3738.140807,10,4,66,96,479,681,441,66,143,391,147,38,0,96
2012-07-20,5171470.46,4213989.64,1227,4295.564922,0,127,231,230,220,24,11,33,126,37,83,109,39,13,27,67,54,27,43,23,2,186,3,7,10,74,104,53,5171470.46,3.480519481,1040.52,4.467980296,1,1511.59,0,0,0,0,1,4.6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4289.431521,3493.154386,10,4,19,107,532,569,492,19,105,295,147,40,22,107
2012-07-21,3442157.02,2746075.45,855,4108.2675,0,103,171,170,165,19,15,24,89,24,71,79,21,17,17,50,36,14,37,17,1,135,4,10,4,57,79,35,3442157.02,3.485380117,905.44,4.530201342,19,139515.72,3,0,0,0,1,4.538461538,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,1,2,0,0,2,1,0,4110.301654,3245.825734,10,4,6,44,394,411,376,6,62,203,119,18,27,44
2012-07-22,3117550.57,2531656.38,714,4197.259875,0,93,140,139,137,11,6,21,77,25,45,67,28,16,18,34,27,18,27,12,2,115,3,6,2,38,75,27,3117550.57,3.571428571,777.85,4.666666667,24,196470.94,2,1,0,2,1,4.111111111,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4181.9026,3364.291362,10,4,24,29,301,360,291,24,63,215,74,10,8,29
2012-07-23,4730517.69,3685006.66,1037,4603.691429,0,136,206,203,202,26,11,33,113,23,88,90,28,22,18,54,42,22,48,10,0,173,4,10,9,50,111,45,4730517.69,3.650485437,1023.62,4.5,15,127759.84,0,1,1,1,2,4.363636364,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,2,0,1,0,1,2,0,4591.772857,3604.54327,10,4,14,84,368,571,352,14,82,318,164,16,7,84
2012-07-24,4096496.12,3248450.65,903,4537.082919,0,122,186,185,183,18,8,21,110,29,71,81,34,18,17,59,38,21,33,17,4,147,5,10,3,41,99,46,4096496.12,3.779569892,701.85,4.39375,13,81299.68,2,1,0,0,2,4.181818182,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,2,0,1,1,2,1,3,2,0,4530.995822,3568.19613,10,4,16,24,399,464,355,16,89,246,97,44,32,24
2012-07-25,5246688.08,4140019.37,1090,4839.926301,0,139,224,221,216,27,6,38,121,32,109,82,33,16,31,61,59,14,43,23,5,164,4,23,5,57,110,57,5246688.08,3.566964286,1102.07,4.489583333,24,141941,2,1,2,1,2,3.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,1,1,0,1,3,0,0,4851.124,3863.456159,10,4,40,57,382,611,355,40,91,325,175,27,20,57
2012-07-26,5851965.06,4579171.74,1310,4423.603636,0,161,273,270,266,23,15,44,155,36,124,115,34,18,26,84,66,21,58,31,0,218,5,12,7,79,117,77,5851965.06,3.783882784,1619.98,4.556962025,16,46345.31,0,2,0,1,4,4.222222222,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,1,1,1,3,1,1,0,3,2,1,4418.158262,3472.728368,10,4,39,42,614,615,578,39,92,386,131,36,6,42
2012-07-27,5156699.45,3989402.2,1070,4750.475485,0,125,212,211,204,34,8,31,104,35,82,96,34,13,35,64,51,18,31,25,2,166,3,14,2,68,97,47,5156699.45,3.495283019,938.26,4.659340659,18,53193.44,2,5,0,0,0,3.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,1,0,2,1,0,2,2,0,4763.477317,3760.658917,10,4,23,41,379,627,366,23,129,301,161,13,36,41
2012-07-28,4326956.84,3403662.59,896,4933.657071,0,99,176,176,171,20,11,20,99,26,75,76,25,13,16,50,33,21,43,12,1,145,6,6,6,54,76,46,4326956.84,3.738636364,741.39,4.484076433,26,77765.1,2,3,0,2,2,3.428571429,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,2,2,0,0,2,1,1,4946.497074,3896.012775,10,4,23,34,403,436,386,23,86,261,79,17,10,34
2012-07-29,4804199.65,3819645.91,972,5133.523767,0,126,206,205,199,21,3,24,137,21,87,87,32,12,20,67,53,12,42,19,2,166,5,10,4,58,108,40,4804199.65,3.737864078,806.07,4.316666667,35,188827.85,2,6,0,1,3,3.666666667,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,2,1,0,2,1,0,5155.954205,4092.650201,10,4,15,61,325,571,283,15,115,271,155,42,30,61
2012-07-30,6586130.95,5195109.56,1332,4975.098007,0,148,268,264,255,25,14,36,151,42,115,118,35,24,31,72,57,30,54,20,3,220,2,15,8,68,140,60,6586130.95,3.664179104,1075.18,4.526748971,22,126235.4,0,1,2,1,4,3.95,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,3,0,0,2,0,2,0,1,2,3,0,4975.403426,3923.185063,10,4,30,47,525,730,500,30,172,398,142,25,18,47
2012-07-31,9151622.14,7142891.18,2016,4563.70714,0,183,381,377,362,39,22,50,218,52,175,172,34,24,47,97,84,42,87,41,2,305,4,18,11,102,196,83,9151622.14,3.254593176,1976.05,4.640718563,44,209656.85,3,3,3,2,5,3.818181818,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,3,1,0,1,0,1,0,0,1,1,0,1,2,1,0,4557.766606,3557.931863,10,4,58,104,822,1032,774,58,139,583,252,48,58,104
2012-08-01,9148357.3,7308514.33,1693,5336.652653,0,181,360,357,344,41,15,51,194,59,156,166,38,22,48,105,75,41,69,31,7,289,13,17,3,113,161,86,9148357.3,3.336111111,1746.31,4.54368932,8,37734.15,1,0,0,0,3,3.588235294,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,6,0,0,4,1,1,0,3,0,1,2,0,2,3,1,5336.692282,4261.790977,10,4,24,91,576,1002,534,24,207,546,192,42,57,91
2012-08-02,9692427,7537501.15,2038,4835.380509,0,181,413,410,396,45,13,62,239,54,150,184,79,31,48,118,93,44,79,33,2,338,10,24,6,121,190,102,9692427,3.16464891,2001.57,4.45923913,12,42250.2,1,2,0,2,3,4.315789474,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,0,0,1,0,0,1,0,0,1,1,0,0,2,0,4832.68074,3791.439668,10,4,58,92,787,1101,726,58,216,582,227,61,76,92
2012-08-03,9297269.95,7118808.46,1793,5149.251637,0,176,353,351,339,49,18,58,180,48,154,144,55,27,36,99,75,38,78,36,5,284,6,17,5,90,186,77,9297269.95,3.552407932,1495.13,4.60130719,53,261973.78,1,1,3,3,12,3.785714286,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,4,0,0,1,3,0,0,3,0,0,0,1,2,2,0,5150.619393,3972.829391,10,4,34,45,614,1100,575,34,145,682,235,39,38,45
2012-08-04,6384195.03,5087528.11,1161,5432.051086,0,155,245,243,239,27,9,31,140,38,101,107,37,22,28,58,64,17,56,26,4,190,6,12,7,80,116,49,6384195.03,3.575510204,1000.22,4.593301435,19,68406.08,1,1,1,2,3,4.12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5429.694374,4324.11667,10,4,30,102,350,679,327,30,158,318,157,23,46,102
2012-08-05,2359224.19,1863413.11,359,6662.971948,0,62,76,76,75,5,9,8,44,10,29,32,15,10,8,12,16,11,19,6,0,60,2,6,2,19,36,21,2359224.19,3.855263158,165.31,4.5,33,120347.12,0,2,2,1,7,3.571428571,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6658.848546,5216.550854,10,4,18,6,74,261,50,18,44,152,55,24,10,6
2012-08-06,3630003.7,2922718.71,560,6275.456911,0,89,114,114,113,16,9,15,58,16,46,50,18,9,7,41,26,10,21,9,1,88,5,9,2,30,64,20,3630003.7,3.745614035,388.06,4.535353535,20,147083.88,2,1,0,1,2,4.125,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,0,0,2,0,0,0,0,1,0,1,0,1,1,0,6281.599105,4980.237711,10,4,14,19,147,380,135,14,126,182,69,12,3,19
2012-08-07,2240253.44,1781265.84,471,4715.965385,0,78,93,91,89,13,3,11,52,14,36,39,18,8,17,26,17,10,15,13,0,68,5,4,3,33,42,18,2240253.44,3.182795699,518.16,4.453333333,29,112879.46,2,5,3,0,2,4.026315789,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,0,1,1,0,0,0,0,1,1,0,0,1,1,0,4734.671337,3731.975403,10,4,0,7,200,264,189,0,45,166,39,11,14,7
2012-08-08,2617553.36,1997006.42,621,4293.128483,0,103,129,128,127,17,15,17,64,16,51,63,15,14,15,30,18,17,35,15,0,99,4,9,2,36,65,28,2617553.36,3.372093023,609.7,4.490909091,16,51784.98,0,0,1,1,3,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,4,0,0,3,0,1,0,0,2,0,2,0,3,1,0,4289.641375,3307.390693,10,4,7,45,273,296,235,7,65,148,50,38,33,45
2012-08-09,4478691.52,3621672.71,822,5086.155789,0,112,156,156,155,8,9,22,95,22,65,71,20,17,20,39,29,14,37,16,2,131,0,7,0,38,77,41,4478691.52,3.467948718,827.31,4.630434783,47,242575.7,3,4,2,4,3,4.083333333,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,3,0,0,2,0,0,1,0,1,1,1,0,2,1,0,5069.489765,4075.743881,10,4,30,46,277,469,242,30,116,213,117,35,23,46
2012-08-10,3412496.65,2699279.56,757,4691.605614,0,107,158,158,154,15,14,23,80,26,51,87,20,13,25,39,34,20,27,16,2,125,1,9,5,51,78,29,3412496.65,3.32278481,640.39,4.532374101,56,271024.06,1,1,0,2,15,3.783783784,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,1,0,0,0,1,0,0,1,0,1,0,1,1,0,4693.238639,3683.727649,10,4,0,29,341,387,316,0,103,189,85,25,10,29
2012-08-11,2732604.35,2168668.05,577,4623.283952,0,79,110,110,105,11,4,16,64,15,50,39,21,10,10,36,20,13,21,8,0,83,2,12,5,29,40,41,2732604.35,3.445454545,636.8,4.42,29,140878.88,0,1,1,5,2,3.918918919,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,4,0,0,1,1,0,2,0,0,3,1,0,1,2,1,4629.254552,3651.996059,10,4,7,56,223,291,223,7,74,161,55,0,1,56
2012-08-12,3388181.83,2654275.25,689,4962.069625,0,102,138,137,133,16,4,24,78,16,49,66,23,11,18,39,28,11,31,12,1,111,4,9,1,25,72,41,3388181.83,3.710144928,503.35,4.388429752,41,200854.66,3,6,0,3,3,3.578947368,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,0,0,1,1,0,0,0,1,0,1,0,0,1,1,4956.240684,3842.452554,10,4,5,32,296,356,285,5,86,189,72,11,9,32
2012-08-13,3928170.01,3189564.96,765,5130.118353,0,95,153,153,147,16,4,27,84,22,62,67,24,10,7,52,32,9,43,10,2,130,3,6,2,40,68,45,3928170.01,3.359477124,747.92,4.304347826,47,152774.26,2,6,1,3,3,4.023809524,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,0,0,0,1,1,0,0,0,2,0,0,0,2,0,5139.977905,4148.393678,10,4,5,31,289,440,240,5,90,249,79,49,22,31
2012-08-14,4033912.16,3258198.58,765,5137.367719,0,113,151,151,149,18,8,21,77,27,66,68,17,10,26,35,30,20,30,14,0,121,4,8,4,32,76,43,4033912.16,3.59602649,605.36,4.458646617,29,122806.12,2,2,2,1,4,4.023809524,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,2,0,0,2,0,0,0,0,1,0,1,0,0,2,0,5121.486007,4114.780846,10,4,11,56,266,432,241,11,97,254,67,25,14,56
2012-08-15,3780293.26,2886923.59,828,4669.021955,0,107,162,161,158,22,7,31,81,21,60,79,23,15,20,48,30,16,33,15,0,129,4,12,2,48,79,35,3780293.26,3.37654321,793.37,4.468531469,34,151816.06,3,2,1,2,5,3.535714286,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,4,0,0,0,3,1,0,1,2,0,0,1,2,2,0,4656.745358,3611.219878,10,4,7,47,379,395,328,7,111,199,71,51,14,47
2012-08-16,5249978.18,4222455.97,1153,4575.319339,0,141,212,209,208,22,11,31,117,31,77,103,32,20,29,51,54,19,39,25,0,165,5,15,2,53,110,49,5249978.18,3.41509434,926.97,4.582417582,24,113705.71,2,5,1,0,2,4.075,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23698,8796,1.017721519,93.25316456,0.966074937,0.243548101,264,235,0,3,0,0,2,1,0,0,0,2,0,0,1,1,2,0,4577.202913,3659.620979,10,4,0,47,565,541,516,0,133,261,111,49,36,47
