feature,gain,mean_abs_shap,gain_rank,shap_rank,avg_rank
total_stock_on_hand_lag_1d,0.03808269649744034,0.000829498,40,43,41.5
new_customers_count,0.02681366167962551,0.0014777314,53,30,41.5
avg_min_order_value,0.04602701961994171,0.0006186598,37,47,42.0
day_of_month,0.061975833028554916,0.00048031405,32,55,43.5
month_sin,0.035972677171230316,0.00056851277,42,49,45.5
items_overstock,0.02701685018837452,0.0006242684,51,46,48.5
total_quantity_rmean_30d,0.02267809957265854,0.0008674322,59,40,49.5
total_shipping_fee_lag_1d,0.019261201843619347,0.0011627803,64,35,49.5
cogs_rstd_30d,0.0269712395966053,0.0005905104,52,48,50.0
order_count_rmean_7d,0.030734488740563393,0.00048430037,48,54,51.0
total_shipping_fee_lag_7d,0.01770847477018833,0.0008607365,70,41,55.5
revenue_rmean_30d,0.03168834373354912,0.00032751096,47,65,56.0
revenue_rstd_30d,0.024848710745573044,0.0004080711,56,56,56.0
total_units_received,0.034048035740852356,0.00031083653,43,71,57.0
return_quantity,0.017978908494114876,0.0006435015,69,45,57.0
revenue_momentum_7_30,0.023294517770409584,0.00033785493,57,60,58.5
avg_stockout_days,0.03240300714969635,0.00029714894,46,74,60.0
revenue_lag_7d,0.024964775890111923,0.0003196986,55,68,61.5
order_count_rmean_30d,0.017040995880961418,0.00050496653,72,53,62.5
revenue_lag_3d,0.021287521347403526,0.00033280268,62,63,62.5
total_payment_value_rmean_30d,0.020895592868328094,0.00033585014,63,62,62.5
cogs_lag_30d,0.030157815665006638,0.00027740584,49,79,64.0
total_quantity_rmean_7d,0.015575283206999302,0.0005249848,78,51,64.5
revenue_rmean_14d,0.017626162618398666,0.00036394395,71,58,64.5
cogs_rmean_30d,0.029566319659352303,0.00027593915,50,80,65.0
promo_categories_covered,0.02145463041961193,0.00031233864,61,70,65.5
total_payment_value_lag_7d,0.016154292970895767,0.00040420677,76,57,66.5
total_page_views_lag_1d,0.022935615852475166,0.00028230716,58,78,68.0
total_quantity_lag_7d,0.013872482813894749,0.00051487575,85,52,68.5
cogs_momentum_7_30,0.021896827965974808,0.00029124628,60,77,68.5
cogs_lag_7d,0.019103210419416428,0.00030207526,65,73,69.0
cogs_lag_2d,0.016342122107744217,0.00033043316,74,64,69.0
order_count_lag_7d,0.014845755882561207,0.0003549505,80,59,69.5
total_units_received_lag_1d,0.02576172910630703,0.00017968015,54,88,71.0
total_payment_value_rmean_7d,0.014802978374063969,0.00032171654,81,66,73.5
revenue_rmean_7d,0.013643883168697357,0.0003365351,86,61,73.5
total_reviews_lag_7d,0.018090536817908287,0.00024233895,67,81,74.0
cogs_dev_from_30d,0.018244551494717598,0.00019730968,66,86,76.0
cogs_rstd_14d,0.015525118447840214,0.00029358885,79,76,77.5
total_reviews_lag_1d,0.013312689028680325,0.0003197768,89,67,78.0
total_units_received_lag_7d,0.0180820319801569,0.00016128812,68,90,79.0
revenue_dev_from_30d,0.012878094799816608,0.00031364267,91,69,80.0
return_quantity_lag_7d,0.016337642446160316,0.00019093817,75,87,81.0
revenue_lag_2d,0.013305447064340115,0.000295836,90,75,82.5
cogs_rstd_7d,0.012256497517228127,0.0003064146,93,72,82.5
revenue_rstd_14d,0.015575774945318699,0.00012346836,77,94,85.5
day_of_week,0.016355829313397408,6.0643855e-05,73,99,86.0
total_reviews,0.013360432349145412,0.00019978256,88,85,86.5
cogs_diff_1d_30d,0.012487903237342834,0.00023730335,92,82,87.0
revenue_rstd_7d,0.013944920152425766,0.00015202975,84,91,87.5
cogs_diff_1d_7d,0.014135265722870827,0.00012663244,83,93,88.0
revenue_cv_7d,0.013361716642975807,0.00017051061,87,89,88.0
refund_amount_lag_7d,0.012006674893200397,0.00020349657,94,84,89.0
revenue_lag_14d,0.011433985084295273,0.00021634725,97,83,90.0
revenue_dev_from_7d,0.014452007599174976,8.707875e-05,82,98,90.0
dow_x_month,0.011477605439722538,0.00014699735,96,92,94.0
refund_amount,0.011953693814575672,0.00010432322,95,95,95.0
cogs_dev_from_7d,0.010691110976040363,0.00010022131,99,96,97.5
traffic_sessions_organic_search,0.010800107382237911,9.7195334e-05,98,97,97.5
traffic_sessions_social_media,0.008895834907889366,3.996598e-05,101,100,100.5
has_stackable,0.010030882433056831,1.1595651e-05,100,102,101.0
traffic_sessions_paid_search,0.008858597837388515,1.993257e-05,102,101,101.5
